date,feature,target
2019-01-02,-0.0013463209055525438,-0.46503624953871514
2019-01-03,-0.003946755929303182,-0.3346458160118426
2019-01-04,0.00011043378737752153,-0.3842588196214518
2019-01-07,-0.0008934834305936035,-0.22898896674964433
2019-01-08,-0.00032632930779452916,0.11676196014844481
2019-01-09,0.00031285574782961584,0.2354863995837841
2019-01-10,-0.0005385881845210078,0.352954555870421
2019-01-11,-0.0014922963428101342,0.7514390175268156
2019-01-14,0.0005047129848813209,0.8036430703790244
2019-01-15,-0.0006117482907028718,1.0586657170236813
2019-01-16,0.0006346529235917371,1.121449913428681
2019-01-17,5.186266690668977e-05,1.2606638578679306
2019-01-18,-0.0001845842907100101,0.8356650302062175
2019-01-21,0.00019756400094959013,0.7099574202351122
2019-01-22,0.002279059810210036,0.39410376510157435
2019-01-23,0.001808080606549947,0.26329491469864463
2019-01-24,0.0006719326525175874,0.19665684767704125
2019-01-25,0.0019783245882848987,0.02982175117614999
2019-01-28,0.00328088726651938,-0.14782185255125813
2019-01-29,0.003565303463556788,-0.45425516172125013
2019-01-30,0.0011980113865511662,-0.5714819493252132
2019-01-31,0.004581900287402471,-0.9359148913930503
2019-02-01,-0.0026239413815665265,-0.7254243871477101
2019-02-11,-0.0012187163922655565,-0.7706316415860173
2019-02-12,-0.003018151775335279,-0.7717890306937945
2019-02-13,-0.001360302018386209,-0.7635059551592451
2019-02-14,-0.001006777174951443,-0.7240110542534577
2019-02-15,-0.002550737692787755,-0.5770464111282407
2019-02-18,-0.0014657217577140505,-0.5158383056752219
2019-02-19,-0.0033387998249392037,-0.48147019179892514
2019-02-20,-0.0008292140647895627,-0.5468600156291789
2019-02-21,0.002316824498112757,-0.881741568101893
2019-02-22,0.00040253542811880547,-0.6189197037155619
2019-02-25,-0.002195998785396956,-0.506794746051154
2019-02-26,-0.0034854554447344196,-0.38061350128537025
2019-02-27,-0.0012190096628834951,-0.18291399918596857
2019-02-28,-0.0004592829067238376,-0.10572330714590926
2019-03-01,0.0001178416931088026,-0.07806009609340474
2019-03-04,-0.000398847729093683,-0.03357144038976226
2019-03-05,-0.001924676744734186,0.04426588913310234
2019-03-06,-0.006927185200465901,0.26720690756281434
2019-03-07,-0.005251190617876545,0.5997010326755116
2019-03-08,0.0035585295356223403,0.5611483515195554
2019-03-11,0.0006241555624821784,0.5465031109515794
2019-03-12,0.00044040546608303983,0.6043912232141113
2019-03-13,0.003977838311964132,0.5575864563518899
2019-03-14,0.0020638295455041858,0.5013616864911075
2019-03-15,0.001069564050793559,0.5171372544054387
2019-03-18,0.0011688891532102162,0.3578812778598421
2019-03-19,0.0008357088910873726,0.1169653571545905
2019-03-20,-0.0015031197628138787,0.030409037489316938
2019-03-21,-0.001435250810509589,0.03577438576372071
2019-03-22,0.0017677596121145902,-0.2012740959119059
2019-03-25,0.0004178133041919232,-0.2729124119019527
2019-03-26,0.0013634468542877748,-0.46410053442825294
2019-03-27,0.001064456228765276,-0.5428294846593968
2019-03-28,0.0009033703184299823,-0.3806025708518627
2019-03-29,0.0013289533434049402,-0.562378885429881
2019-04-01,-0.0005396838463404708,-0.528230614401644
2019-04-02,-0.001787415160984873,-0.523303754860673
2019-04-03,-0.0026162658018918333,-0.36170673052394514
